age,kids,hours,domain,skill,education,city_type,language,device,work_mode,work_type,income
43,3,8,Gardening,Plant Care,12th,Semi-Urban,Both,Both,Hybrid,Home Gardening Service,19589
33,2,7,Fitness,Yoga,Diploma,Semi-Urban,English,Both,Work From Home,Zumba Trainer,20742
25,4,6,Law,Legal Drafting,No Formal,Semi-Urban,Both,Mobile,Hybrid,Contract Reviewer,24438
28,3,2,Cleaning,Organization,10th,Rural,English,Mobile,Hybrid,Office Cleaning,10889
33,2,6,Labour,Physical Work,Diploma,Urban,Both,Mobile,Work From Home,Construction Helper,18680
22,0,1,Labour,Loading/Unloading,8th,Rural,English,Mobile,Offline Local,Factory Worker,11023
32,1,5,Beauty,Hair Styling,8th,Semi-Urban,English,Both,Hybrid,Mehndi Artist,19078
22,0,6,Beauty,Makeup,No Formal,Urban,English,Mobile,Offline Local,Makeup Artist,20040
50,0,5,Data Entry,Data Management,No Formal,Semi-Urban,Hindi,Mobile,Work From Home,Typing Work,17573
35,3,3,Cleaning,Housekeeping,No Formal,Rural,English,Both,Offline Local,Deep Cleaning Services,10865
28,1,2,Music,Music Teaching,10th,Urban,Hindi,Laptop,Hybrid,Instrument Tutor,15953
28,1,5,Labour,Physical Work,12th,Urban,English,Laptop,Hybrid,Construction Helper,15135
47,1,1,Social Media,Instagram,8th,Rural,English,Mobile,Work From Home,Instagram Reels Editor,15181
45,0,7,Cleaning,Organization,10th,Rural,Hindi,Laptop,Hybrid,House Cleaning,13352
41,1,2,Electrician,Appliance Maintenance,8th,Rural,English,Mobile,Offline Local,Electrical Repair Services,15416
22,3,6,E-Commerce,Order Handling,10th,Semi-Urban,Hindi,Laptop,Hybrid,Catalog Manager,16758
34,3,5,Government,Clerk Skills,Diploma,Rural,Hindi,Mobile,Work From Home,Office Assistant,24497
49,1,7,Security,Communication,UG,Urban,English,Mobile,Work From Home,Night Guard,19973
31,0,2,Nurse,Patient Monitoring,PG,Semi-Urban,English,Mobile,Hybrid,Clinic Nurse,20914
48,0,5,Social Media,Instagram,No Formal,Urban,Both,Mobile,Hybrid,Content Creator,22260
47,0,4,Baking,Cake Decoration,Diploma,Urban,Both,Mobile,Offline Local,Custom Cake Business,14274
50,2,7,Clothing,Embroidery,No Formal,Semi-Urban,Hindi,Mobile,Offline Local,Boutique Business,19769
45,3,2,IT,Video Editing,UG,Rural,English,Mobile,Work From Home,Web Development,24515
22,1,2,Music,Music Teaching,10th,Rural,Both,Mobile,Hybrid,Music Teacher Online,12590
26,0,6,Government,Office Work,8th,Urban,Hindi,Laptop,Offline Local,Clerk,22684
22,3,2,Law,Documentation,No Formal,Semi-Urban,Both,Mobile,Offline Local,Documentation Support,19216
29,2,6,Teaching,Subject Knowledge,8th,Urban,Hindi,Mobile,Hybrid,Online Tutor,21458
35,1,8,Music,Music Teaching,10th,Rural,Both,Both,Hybrid,Instrument Tutor,22283
26,0,1,Clothing,Fashion Designing,Diploma,Semi-Urban,Hindi,Both,Work From Home,Boutique Business,14372
28,2,6,Handicraft,Product Selling,Diploma,Urban,Hindi,Both,Offline Local,Jewelry Making,18445
34,1,6,E-Commerce,Order Handling,No Formal,Rural,Hindi,Both,Work From Home,Catalog Manager,15757
24,1,6,Government,Office Work,12th,Rural,English,Both,Work From Home,Office Assistant,21833
25,1,8,Labour,Loading/Unloading,10th,Urban,Both,Mobile,Hybrid,Construction Helper,20050
30,0,5,Cleaning,Housekeeping,8th,Rural,English,Both,Offline Local,Office Cleaning,13636
27,1,3,Doctor,Consultation,Diploma,Semi-Urban,Both,Mobile,Hybrid,Health Consultant (Online),25072
35,1,4,Law,Legal Drafting,Diploma,Semi-Urban,English,Mobile,Offline Local,Documentation Support,19301
41,1,3,Doctor,Consultation,PG,Urban,Both,Laptop,Work From Home,Clinic Support,27310
43,3,7,Social Media,Content Writing,12th,Rural,Both,Laptop,Offline Local,Content Creator,24633
20,1,3,Commerce,Accounting,8th,Semi-Urban,Hindi,Laptop,Hybrid,Bookkeeping,14002
28,1,4,Government,Documentation,UG,Semi-Urban,English,Mobile,Offline Local,Office Assistant,24071
41,1,2,Nurse,First Aid,12th,Rural,Both,Laptop,Offline Local,Patient Support Online,20783
46,3,2,Fitness,Yoga,PG,Urban,Hindi,Both,Offline Local,Yoga Instructor Online,16143
41,2,7,Law,Documentation,No Formal,Semi-Urban,English,Laptop,Hybrid,Contract Reviewer,21850
32,1,2,IT,Graphic Designing,No Formal,Semi-Urban,English,Mobile,Hybrid,Freelancing,20226
33,3,6,Data Entry,Excel,No Formal,Urban,Both,Laptop,Offline Local,Typing Work,15736
40,2,3,IT,Web Development,12th,Rural,English,Mobile,Hybrid,Graphic Designing,20687
50,2,7,Electrician,Electrical Repair,10th,Rural,English,Mobile,Work From Home,Appliance Fixing,21700
34,1,5,Fitness,Nutrition,8th,Semi-Urban,Hindi,Laptop,Work From Home,Yoga Instructor Online,21273
29,2,2,Fitness,Yoga,10th,Rural,Both,Both,Work From Home,Yoga Instructor Online,15500
42,0,7,Electrician,Wiring,12th,Rural,Both,Mobile,Offline Local,Home Electrician,22675
44,2,5,Cleaning,Housekeeping,8th,Urban,Hindi,Mobile,Hybrid,Deep Cleaning Services,13984
41,2,5,Doctor,Basic Healthcare,UG,Urban,Both,Mobile,Hybrid,Health Consultant (Online),26573
42,3,3,IT,Web Development,Diploma,Semi-Urban,Hindi,Both,Hybrid,Freelancing,24201
39,2,2,Cleaning,Housekeeping,12th,Rural,Hindi,Mobile,Work From Home,House Cleaning,11981
28,1,5,Social Media,Content Writing,8th,Semi-Urban,English,Mobile,Work From Home,Content Creator,21002
39,2,1,Security,Communication,No Formal,Semi-Urban,Both,Laptop,Hybrid,Night Guard,10797
25,0,7,Banking,Data Entry,10th,Urban,Hindi,Laptop,Hybrid,Customer Support,23727
22,1,2,Security,Communication,UG,Semi-Urban,Hindi,Mobile,Work From Home,Night Guard,15359
49,0,8,Government,Clerk Skills,Diploma,Urban,English,Both,Offline Local,Office Assistant,24161
50,2,8,Cooking,Meal Planning,10th,Semi-Urban,English,Laptop,Work From Home,Cooking Classes Online,18311
38,1,3,Music,Music Teaching,No Formal,Rural,English,Both,Work From Home,Instrument Tutor,13072
47,3,5,Fitness,Yoga,12th,Semi-Urban,Both,Both,Work From Home,Diet Coach,19612
23,1,3,Law,Legal Drafting,PG,Rural,Hindi,Mobile,Offline Local,Contract Reviewer,24322
31,2,3,Music,Singing,UG,Rural,Both,Laptop,Offline Local,Music Teacher Online,15552
38,3,5,Doctor,Patient Support,8th,Urban,English,Both,Hybrid,Clinic Support,25732
39,2,5,Social Media,Instagram,PG,Rural,English,Mobile,Hybrid,Content Creator,25980
37,1,6,Nurse,First Aid,10th,Rural,English,Laptop,Offline Local,Clinic Nurse,25434
32,2,5,Nurse,Patient Monitoring,Diploma,Semi-Urban,English,Mobile,Work From Home,Home Care Nurse,25529
35,1,7,Security,Security Monitoring,8th,Urban,English,Both,Work From Home,Night Guard,14851
33,2,6,Government,Documentation,Diploma,Urban,Both,Mobile,Hybrid,Data Entry Operator,21866
42,0,6,Data Entry,Data Management,PG,Semi-Urban,Both,Both,Offline Local,Typing Work,18336
45,1,8,Baking,Baking,UG,Rural,Hindi,Both,Hybrid,Custom Cake Business,19581
32,1,8,Social Media,Canva,12th,Semi-Urban,Both,Laptop,Work From Home,Instagram Reels Editor,23028
50,0,4,Law,Legal Drafting,8th,Urban,English,Both,Offline Local,Legal Assistant,18224
34,0,2,Banking,Data Entry,PG,Semi-Urban,English,Mobile,Work From Home,Back Office Assistant,21742
32,2,6,Music,Singing,PG,Rural,Hindi,Laptop,Offline Local,Instrument Tutor,23564
41,0,1,Social Media,Content Writing,PG,Rural,English,Mobile,Hybrid,Content Creator,18343
24,0,8,Nurse,Nursing Care,12th,Semi-Urban,Hindi,Both,Work From Home,Clinic Nurse,26069
37,0,5,Cleaning,Organization,8th,Semi-Urban,Both,Mobile,Hybrid,House Cleaning,12868
46,3,8,E-Commerce,Order Handling,No Formal,Urban,Hindi,Both,Hybrid,Order Processing,17312
43,0,4,Labour,Loading/Unloading,8th,Urban,Both,Mobile,Work From Home,Warehouse Helper,11020
50,3,5,Gardening,Plant Care,Diploma,Urban,Both,Mobile,Work From Home,Plant Selling,17019
43,1,1,Teaching,Communication,10th,Urban,English,Laptop,Hybrid,Home Tuition,17052
43,0,8,Electrician,Appliance Maintenance,8th,Semi-Urban,Both,Both,Hybrid,Electrical Repair Services,23933
47,1,4,E-Commerce,Packing,UG,Rural,Both,Both,Hybrid,Catalog Manager,17853
45,2,1,Electrician,Wiring,Diploma,Semi-Urban,Hindi,Laptop,Hybrid,Appliance Fixing,16716
21,3,7,Cooking,Cooking,Diploma,Semi-Urban,Both,Both,Offline Local,Cooking Classes Online,19625
21,3,5,Nurse,Nursing Care,PG,Rural,Both,Mobile,Work From Home,Clinic Nurse,27344
41,4,1,Government,Office Work,No Formal,Rural,Both,Mobile,Work From Home,Clerk,15219
50,1,7,Cooking,Food Packaging,PG,Rural,Both,Laptop,Hybrid,Meal Prep Business,18685
30,0,4,Beauty,Mehndi,Diploma,Semi-Urban,Hindi,Both,Hybrid,Makeup Artist,16153
41,1,6,Cleaning,Housekeeping,10th,Urban,Both,Mobile,Offline Local,Deep Cleaning Services,15611
45,1,4,Nurse,Patient Monitoring,PG,Rural,Both,Laptop,Offline Local,Patient Support Online,24115
47,3,5,Labour,Loading/Unloading,PG,Rural,Both,Mobile,Work From Home,Factory Worker,17821
25,1,1,Handicraft,Craft Making,Diploma,Rural,Hindi,Laptop,Offline Local,Jewelry Making,11454
22,0,7,Government,Office Work,UG,Rural,Hindi,Mobile,Work From Home,Clerk,27106
34,2,8,Data Entry,Data Management,No Formal,Urban,English,Both,Offline Local,Data Entry,18945
23,3,8,Cooking,Cooking,Diploma,Rural,English,Both,Offline Local,Cooking Classes Online,18450
23,2,2,Teaching,Teaching,10th,Semi-Urban,Both,Both,Offline Local,Home Tuition,14778
23,0,5,Labour,Physical Work,12th,Rural,Hindi,Laptop,Hybrid,Warehouse Helper,13395
39,0,1,IT,Graphic Designing,10th,Semi-Urban,Hindi,Laptop,Offline Local,Graphic Designing,18572
26,1,4,Baking,Baking,Diploma,Urban,English,Mobile,Hybrid,Dessert Selling Online,18203
44,3,5,Gardening,Gardening,No Formal,Urban,Hindi,Laptop,Offline Local,Nursery Worker,13240
50,1,4,Cooking,Food Packaging,12th,Rural,English,Both,Offline Local,Catering Assistant,14535
42,2,4,IT,Web Development,10th,Urban,Both,Both,Offline Local,Web Development,22992
27,2,7,Cooking,Food Packaging,8th,Rural,Hindi,Both,Work From Home,Home Tiffin Service,15740
39,2,2,Baking,Chocolate Making,UG,Urban,English,Both,Offline Local,Dessert Selling Online,15852
39,2,2,Labour,Helper Skills,UG,Semi-Urban,Both,Both,Offline Local,Warehouse Helper,14542
21,2,6,Data Entry,Data Management,12th,Rural,Hindi,Both,Hybrid,Excel Assistant,16320
22,3,2,Clothing,Embroidery,UG,Rural,English,Both,Work From Home,Boutique Business,13521
38,2,4,E-Commerce,Order Handling,PG,Semi-Urban,Both,Laptop,Offline Local,Catalog Manager,19040
26,1,4,Baking,Chocolate Making,PG,Urban,Both,Laptop,Work From Home,Dessert Selling Online,17754
44,1,2,Teaching,Communication,Diploma,Semi-Urban,Hindi,Laptop,Hybrid,Online Tutor,15997
34,1,7,Fitness,Exercise Training,10th,Urban,Hindi,Both,Hybrid,Zumba Trainer,21785
30,3,7,Law,Documentation,PG,Urban,Both,Mobile,Hybrid,Contract Reviewer,27008
49,1,1,Data Entry,Excel,8th,Rural,Hindi,Both,Work From Home,Excel Assistant,12193
32,1,5,Gardening,Plant Care,10th,Urban,Hindi,Laptop,Work From Home,Nursery Worker,12360
32,2,3,Law,Legal Drafting,No Formal,Urban,English,Mobile,Hybrid,Documentation Support,17999
45,4,8,Beauty,Hair Styling,Diploma,Rural,Hindi,Laptop,Hybrid,Makeup Artist,24171
41,1,1,Handicraft,Product Selling,10th,Urban,English,Both,Work From Home,Handmade Products Seller,12607
50,1,5,Beauty,Mehndi,Diploma,Semi-Urban,Both,Laptop,Work From Home,Mehndi Artist,18281
26,2,7,Doctor,Patient Support,8th,Urban,English,Both,Offline Local,Clinic Support,30174
46,1,3,Law,Research,UG,Rural,English,Both,Hybrid,Contract Reviewer,20760
44,3,1,Doctor,Basic Healthcare,PG,Semi-Urban,Hindi,Mobile,Offline Local,Health Consultant (Online),24544
44,0,5,Cleaning,Housekeeping,12th,Rural,English,Mobile,Hybrid,House Cleaning,11924
34,1,1,Cooking,Food Packaging,UG,Urban,English,Mobile,Offline Local,Cooking Classes Online,13477
23,1,5,Cooking,Meal Planning,UG,Semi-Urban,Both,Laptop,Work From Home,Home Tiffin Service,16181
42,0,4,Nurse,First Aid,PG,Urban,Hindi,Both,Work From Home,Patient Support Online,23618
25,1,7,Beauty,Hair Styling,Diploma,Urban,Hindi,Laptop,Hybrid,Home Salon,19753
42,3,1,Cooking,Food Packaging,12th,Semi-Urban,Both,Mobile,Offline Local,Meal Prep Business,11135
44,0,1,Commerce,Excel,8th,Urban,English,Both,Work From Home,Accounting Assistant,12563
36,1,8,Data Entry,Data Management,Diploma,Semi-Urban,Both,Mobile,Work From Home,Excel Assistant,20239
22,3,4,Teaching,Subject Knowledge,12th,Semi-Urban,Both,Laptop,Hybrid,Home Tuition,17134
36,1,3,Cleaning,Housekeeping,PG,Rural,Hindi,Both,Offline Local,Office Cleaning,14293
41,1,7,E-Commerce,Packing,PG,Urban,English,Mobile,Work From Home,Order Processing,19447
34,0,1,Baking,Chocolate Making,Diploma,Rural,Hindi,Laptop,Offline Local,Home Bakery,10123
30,2,4,Handicraft,Product Selling,No Formal,Rural,Hindi,Laptop,Offline Local,Art & Craft Business,14315
50,2,2,Teaching,Subject Knowledge,10th,Semi-Urban,Both,Mobile,Hybrid,Online Tutor,16870
24,1,5,Teaching,Subject Knowledge,8th,Rural,Hindi,Laptop,Hybrid,Online Tutor,20982
23,2,6,Social Media,Content Writing,UG,Semi-Urban,English,Both,Work From Home,Instagram Reels Editor,22411
20,2,8,Fitness,Nutrition,UG,Semi-Urban,English,Both,Offline Local,Yoga Instructor Online,24701
29,4,4,Baking,Cake Decoration,No Formal,Urban,Both,Laptop,Hybrid,Custom Cake Business,14250
23,2,6,Teaching,Subject Knowledge,8th,Urban,Hindi,Mobile,Work From Home,Coaching Assistant,23285
27,0,7,Fitness,Exercise Training,UG,Semi-Urban,Both,Mobile,Hybrid,Diet Coach,25301
33,1,7,Banking,Sales,No Formal,Urban,Hindi,Laptop,Offline Local,Banking Sales Agent,25328
25,0,5,Labour,Physical Work,PG,Rural,Both,Laptop,Hybrid,Construction Helper,15733
23,1,5,Labour,Helper Skills,UG,Rural,Both,Laptop,Offline Local,Factory Worker,16440
27,0,5,Handicraft,Art,UG,Rural,English,Mobile,Hybrid,Jewelry Making,18938
30,1,6,Music,Music Teaching,Diploma,Semi-Urban,Hindi,Both,Work From Home,Music Teacher Online,18796
27,0,5,IT,Web Development,Diploma,Urban,Hindi,Laptop,Hybrid,Web Development,26829
36,0,1,Teaching,Teaching,10th,Urban,English,Both,Hybrid,Coaching Assistant,15688
42,0,8,Electrician,Appliance Maintenance,8th,Semi-Urban,English,Both,Offline Local,Appliance Fixing,21776
38,2,8,Doctor,Basic Healthcare,12th,Semi-Urban,English,Laptop,Work From Home,Clinic Support,32277
44,2,2,Clothing,Embroidery,8th,Rural,Both,Both,Work From Home,Boutique Business,12728
29,1,4,Government,Documentation,8th,Urban,Both,Both,Offline Local,Data Entry Operator,20631
47,2,3,Clothing,Embroidery,No Formal,Urban,English,Both,Offline Local,Clothing Seller Online,11716
46,3,2,Banking,Customer Handling,10th,Urban,English,Both,Hybrid,Banking Sales Agent,16804
40,0,2,Data Entry,Excel,8th,Semi-Urban,Hindi,Both,Work From Home,Excel Assistant,12687
22,0,6,Teaching,Communication,PG,Semi-Urban,Both,Mobile,Hybrid,Online Tutor,23750
40,3,5,E-Commerce,Order Handling,12th,Urban,English,Mobile,Offline Local,Order Processing,16677
45,2,7,Gardening,Plant Care,No Formal,Semi-Urban,Both,Mobile,Work From Home,Plant Selling,18135
47,2,3,E-Commerce,Order Handling,No Formal,Urban,English,Mobile,Work From Home,Order Processing,13630
33,1,1,E-Commerce,Packing,No Formal,Urban,Both,Mobile,Offline Local,Catalog Manager,10823
35,4,5,Teaching,Teaching,Diploma,Rural,English,Laptop,Offline Local,Home Tuition,19139
49,1,3,Cooking,Food Packaging,12th,Rural,Both,Mobile,Hybrid,Cooking Classes Online,12957
32,1,1,Nurse,First Aid,10th,Rural,English,Laptop,Offline Local,Home Care Nurse,17015
48,0,1,Nurse,Nursing Care,Diploma,Rural,English,Mobile,Work From Home,Clinic Nurse,16944
40,1,6,Commerce,Accounting,PG,Rural,English,Mobile,Hybrid,Invoice Processing,22144
27,1,1,Commerce,Excel,Diploma,Rural,Both,Both,Hybrid,Bookkeeping,15123
24,3,5,Beauty,Hair Styling,No Formal,Semi-Urban,Both,Laptop,Offline Local,Makeup Artist,15145
26,1,6,Teaching,Teaching,UG,Semi-Urban,Both,Both,Hybrid,Online Tutor,22052
29,3,1,Nurse,First Aid,UG,Rural,Both,Both,Work From Home,Clinic Nurse,18022
36,3,4,Nurse,Nursing Care,8th,Semi-Urban,English,Mobile,Offline Local,Clinic Nurse,22588
21,0,6,Gardening,Gardening,10th,Urban,Both,Mobile,Work From Home,Nursery Worker,13869
27,2,6,Fitness,Yoga,UG,Urban,Hindi,Both,Hybrid,Diet Coach,21995
46,2,6,Gardening,Plant Care,8th,Urban,English,Mobile,Hybrid,Plant Selling,15899
50,4,8,IT,Web Development,UG,Rural,Both,Laptop,Hybrid,Web Development,31648
31,1,3,Beauty,Makeup,12th,Semi-Urban,Both,Both,Hybrid,Makeup Artist,16694
24,4,5,Music,Singing,Diploma,Semi-Urban,Both,Mobile,Hybrid,Music Teacher Online,19335
34,1,7,Labour,Physical Work,Diploma,Rural,English,Mobile,Work From Home,Construction Helper,19200
34,2,5,Government,Documentation,UG,Urban,English,Both,Offline Local,Clerk,23135
21,0,6,Clothing,Embroidery,Diploma,Rural,English,Both,Offline Local,Tailoring,17865
48,1,6,Banking,Customer Handling,PG,Semi-Urban,English,Both,Work From Home,Back Office Assistant,24113
48,3,6,Government,Clerk Skills,PG,Rural,Both,Both,Hybrid,Data Entry Operator,27131
31,1,1,Data Entry,Excel,12th,Semi-Urban,Both,Mobile,Hybrid,Excel Assistant,10011
35,0,6,Social Media,Content Writing,12th,Semi-Urban,English,Mobile,Work From Home,Content Creator,21798
37,1,4,Fitness,Nutrition,8th,Semi-Urban,English,Both,Offline Local,Zumba Trainer,18286
28,0,7,Baking,Cake Decoration,No Formal,Semi-Urban,English,Mobile,Hybrid,Dessert Selling Online,17235
40,0,7,Banking,Sales,10th,Urban,Hindi,Mobile,Offline Local,Customer Support,24998
42,2,6,Electrician,Wiring,PG,Rural,Both,Both,Work From Home,Home Electrician,24540
32,0,1,E-Commerce,Order Handling,No Formal,Rural,Hindi,Laptop,Work From Home,Catalog Manager,9483
32,0,3,Commerce,Excel,No Formal,Rural,Both,Both,Offline Local,Bookkeeping,17875
46,1,5,Doctor,Basic Healthcare,10th,Rural,English,Laptop,Hybrid,Health Consultant (Online),26226
34,0,7,Nurse,Nursing Care,12th,Rural,English,Both,Hybrid,Home Care Nurse,25853
42,1,8,Clothing,Fashion Designing,No Formal,Urban,Hindi,Laptop,Hybrid,Tailoring,16749
30,3,2,Security,Discipline,10th,Semi-Urban,Hindi,Laptop,Offline Local,Watchman,9762
34,3,8,Beauty,Makeup,Diploma,Urban,Hindi,Both,Work From Home,Makeup Artist,23293
26,3,4,Cleaning,Organization,No Formal,Rural,English,Both,Offline Local,House Cleaning,12190
41,1,7,Gardening,Plant Care,UG,Rural,Hindi,Laptop,Hybrid,Home Gardening Service,16939
22,2,2,Teaching,Subject Knowledge,No Formal,Urban,English,Both,Work From Home,Coaching Assistant,17129
33,3,8,Doctor,Consultation,No Formal,Semi-Urban,English,Both,Offline Local,Clinic Support,28564
42,1,7,Government,Clerk Skills,PG,Rural,English,Both,Work From Home,Office Assistant,25175
30,1,1,Electrician,Electrical Repair,No Formal,Rural,English,Both,Hybrid,Home Electrician,11341
26,2,6,Handicraft,Product Selling,10th,Rural,Hindi,Mobile,Offline Local,Handmade Products Seller,18492
45,1,7,IT,Graphic Designing,10th,Urban,Both,Mobile,Work From Home,Freelancing,26262
40,1,3,Cooking,Meal Planning,10th,Rural,English,Mobile,Hybrid,Catering Assistant,15008
45,1,5,E-Commerce,Packing,PG,Semi-Urban,Hindi,Mobile,Offline Local,Product Packing,16183
40,1,2,Government,Documentation,12th,Rural,Hindi,Mobile,Work From Home,Clerk,19224
49,0,1,Baking,Baking,Diploma,Semi-Urban,Hindi,Laptop,Hybrid,Custom Cake Business,10732
31,2,5,Handicraft,Craft Making,8th,Rural,English,Both,Work From Home,Handmade Products Seller,17966
45,2,6,E-Commerce,Packing,10th,Rural,Both,Mobile,Hybrid,Order Processing,16331
30,3,5,Data Entry,Excel,8th,Urban,Both,Both,Work From Home,Excel Assistant,17487
23,0,6,IT,Web Development,UG,Urban,Hindi,Laptop,Work From Home,Graphic Designing,29595
20,1,3,Law,Research,12th,Rural,English,Both,Work From Home,Documentation Support,19342
27,0,2,Fitness,Exercise Training,10th,Semi-Urban,Both,Both,Hybrid,Diet Coach,16876
46,0,8,Teaching,Communication,12th,Semi-Urban,Hindi,Mobile,Work From Home,Coaching Assistant,25077
47,0,2,Fitness,Nutrition,PG,Rural,Both,Both,Work From Home,Zumba Trainer,20465
24,2,8,Teaching,Subject Knowledge,10th,Urban,Hindi,Both,Offline Local,Home Tuition,25621
42,3,1,Fitness,Yoga,UG,Rural,Both,Laptop,Hybrid,Zumba Trainer,15983
35,1,2,Data Entry,Data Management,8th,Rural,Both,Both,Hybrid,Typing Work,14004
31,1,2,Fitness,Exercise Training,Diploma,Semi-Urban,Hindi,Mobile,Offline Local,Diet Coach,18309
20,1,6,Doctor,Basic Healthcare,PG,Semi-Urban,Hindi,Both,Work From Home,Health Consultant (Online),31639
24,1,6,Nurse,Patient Monitoring,10th,Rural,Both,Mobile,Offline Local,Patient Support Online,24920
48,1,1,Teaching,Teaching,Diploma,Urban,Hindi,Mobile,Hybrid,Online Tutor,15991
28,0,5,Commerce,Tally,12th,Urban,English,Both,Offline Local,Accounting Assistant,21604
33,1,7,Teaching,Communication,8th,Semi-Urban,Hindi,Both,Work From Home,Home Tuition,20343
49,0,1,Cleaning,Housekeeping,Diploma,Urban,English,Mobile,Hybrid,Deep Cleaning Services,6835
24,1,6,Fitness,Exercise Training,No Formal,Urban,Hindi,Laptop,Offline Local,Diet Coach,20435
26,1,2,Law,Documentation,No Formal,Semi-Urban,Both,Mobile,Work From Home,Contract Reviewer,15825
39,3,7,Baking,Cake Decoration,8th,Rural,Both,Laptop,Hybrid,Custom Cake Business,20252
22,0,7,Gardening,Plant Care,PG,Rural,Hindi,Mobile,Offline Local,Nursery Worker,18614
50,1,3,Baking,Cake Decoration,No Formal,Semi-Urban,English,Laptop,Hybrid,Custom Cake Business,12809
37,2,2,Cleaning,Sanitization,8th,Urban,Hindi,Laptop,Offline Local,Office Cleaning,11532
25,2,3,Government,Clerk Skills,12th,Urban,English,Both,Hybrid,Data Entry Operator,18466
29,3,8,Security,Discipline,8th,Semi-Urban,Both,Laptop,Hybrid,Watchman,19374
45,1,2,Labour,Helper Skills,UG,Urban,Both,Laptop,Work From Home,Factory Worker,13676
22,3,2,Handicraft,Art,UG,Rural,English,Mobile,Offline Local,Handmade Products Seller,12448
31,2,3,Doctor,Patient Support,PG,Urban,Both,Laptop,Offline Local,Health Consultant (Online),29563
